id;nombre;campeonato_id;ciudad;provincia;cod_pos;descripcion;logo;is_active;created_at;updated_at;grupo_id
"5";"B. NORTE";"24";\N;\N;\N;\N;\N;"1";"2025-03-22 23:20:27";"2025-04-17 21:25:32";\N
"2";"B. VALENZUELA";"24";"Bella Vista";"Corrientes";"3432";\N;\N;"1";"2025-03-22 23:18:48";"2025-04-17 21:25:32";\N
"17";"DEP. UNIDO";"24";\N;\N;\N;\N;\N;"1";"2025-03-25 11:32:24";"2025-04-17 21:25:32";\N
"14";"DON JULIO";"24";\N;\N;\N;\N;\N;"1";"2025-03-25 11:31:31";"2025-04-17 21:25:32";\N
"6";"DOÑA MARY";"24";"Bella Vista";"Corrientes";"3432";\N;\N;"1";"2025-03-24 15:41:25";"2025-04-17 21:25:32";\N
"16";"EL CURUPÍ";"24";\N;\N;\N;\N;\N;"1";"2025-03-25 11:32:09";"2025-04-25 00:40:14";\N
"29";"EL REJUNTE";\N;\N;\N;\N;\N;\N;"1";"2025-04-25 00:50:50";"2025-04-25 00:50:50";\N
"13";"ENERGY";"24";\N;\N;\N;\N;\N;"1";"2025-03-25 11:31:03";"2025-04-17 21:25:32";\N
"18";"EX COMBATIENTE";"24";\N;\N;\N;\N;\N;"1";"2025-03-25 11:32:40";"2025-04-17 21:25:32";\N
"7";"FENIX";"24";\N;\N;\N;\N;\N;"1";"2025-03-25 11:30:10";"2025-04-17 21:25:32";\N
"3";"GREMIO";"24";"Bella Vista";"Corrientes";"3432";\N;\N;"1";"2025-03-22 23:19:06";"2025-04-17 21:25:32";\N
"19";"LA CARPITA";"24";\N;\N;\N;\N;\N;"1";"2025-03-25 11:32:52";"2025-04-17 21:25:32";\N
"20";"LA FAMILIA";"24";\N;\N;\N;\N;\N;"1";"2025-03-25 11:33:03";"2025-04-17 21:25:32";\N
"9";"LA PESTE ROJA";"24";\N;\N;\N;\N;\N;"1";"2025-03-25 11:30:28";"2025-04-17 21:25:32";\N
"21";"LIBERTAD";"24";\N;\N;\N;\N;\N;"1";"2025-03-25 11:33:15";"2025-04-17 21:25:25";\N
"22";"LOS 4 SOLES";"24";\N;\N;\N;\N;\N;"1";"2025-03-25 11:33:25";"2025-04-17 21:25:26";\N
"23";"LOS HALCONES";"24";\N;\N;\N;\N;\N;"1";"2025-03-25 11:33:39";"2025-04-17 21:25:27";\N
"8";"LOS PINOS";"24";\N;\N;\N;\N;\N;"1";"2025-03-25 11:30:19";"2025-04-17 21:25:32";\N
"30";"LOS REYES";\N;\N;\N;\N;\N;\N;"1";"2025-04-25 22:09:12";"2025-04-25 22:09:12";\N
"25";"LUJAN";"25";\N;\N;\N;\N;\N;"1";"2025-03-25 11:34:01";"2025-04-17 20:26:06";\N
"15";"PARRILLA M. FLORES";"24";\N;\N;\N;\N;\N;"1";"2025-03-25 11:31:41";"2025-04-17 21:25:32";\N
"4";"PATRONATO";"24";\N;\N;\N;\N;\N;"1";"2025-03-22 23:20:20";"2025-04-17 21:25:32";\N
"24";"PROFESORES";"24";\N;\N;\N;\N;\N;"1";"2025-03-25 11:33:53";"2025-04-17 21:25:28";\N
"26";"PROMAT";"19";\N;\N;\N;\N;\N;"1";"2025-03-25 11:34:10";"2025-04-09 13:20:28";\N
"12";"S.E.COMERCIO";"24";\N;\N;\N;\N;\N;"1";"2025-03-25 11:30:57";"2025-04-17 21:25:32";\N
"27";"SAN LORENZO";"19";\N;\N;\N;\N;\N;"1";"2025-03-25 11:34:18";"2025-04-09 14:34:03";\N
"1";"sin equipo";"0";"bella vista";"corrientes";"3432";"Este es para todo jugador que no tengan equipos momentaneamente";\N;"1";\N;"2025-03-25 13:57:59";\N
"10";"SPORTIVO ITATI";"24";\N;\N;\N;\N;\N;"1";"2025-03-25 11:30:37";"2025-04-17 21:25:32";\N
"28";"TRANS. SELTZER";"19";\N;\N;\N;\N;\N;"1";"2025-03-25 11:34:33";"2025-04-09 14:34:03";\N
"11";"VET ARANDU";"24";\N;\N;\N;\N;\N;"1";"2025-03-25 11:30:48";"2025-04-17 21:25:32";\N
